Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	0	-20272.2	-20276	3.85096	0.0454115	0.318895	0.240257	0.0144479	0.0144934	0.32778	0.0445774	0.125071	0.0692069	0.0279914	0.000835833	0.0644311	0.113077	0.0254756	0.0825223	0.330676	0.00818289	0.0190315	0.0411481	0.147738	0.363563	0.0412505	0.0484254	0.0847021	0.0227832	0.107164	0.400288	0.0402231	0.0104924	0.0363494	0.0902836	0.0343478	0.0280054	0.0759656	0.0723314	0.16908	0.0596275	0.0865917	0.0447244	0.0215205	0.0870289	0.0295497	0.0882631	4.103812
1	1	-20449.3	-20451.2	1.90486	0.0324363	0.0581713	0.110596	0.189941	0.103771	0.130962	0.153196	0.0249577	0.00896385	0.146459	0.296484	0.618035	0.0527013	0.0842388	0.31551	0.000933961	0.00174823	0.0120045	0.182328	0.0501312	0.0546238	0.107715	0.0610918	0.00838577	0.0953093	0.069434	0.00959433	0.0116826	0.0386046	0.0109517	0.0498158	0.0246277	0.325617	0.145886	0.110839	0.0751988	0.15116	0.00338814	0.19311	0.00950762	0.0499903	0.113779	0.00454278	4.298422
2	0	-16607.4	-16618.7	11.2392	0.151632	0.181016	0.105588	0.0570758	0.0482071	0.0947607	0.154428	0.110419	0.0966062	0.154766	0.00171519	0.156251	0.142611	0.0401208	0.115949	0.211125	0.0257637	0.0892053	0.138006	0.0882047	0.098412	0.0850616	0.0655455	0.0291345	0.0398563	0.0634355	0.129636	0.0281433	0.00512847	0.0247176	0.0234197	0.0324406	0.078629	0.0385626	0.0165353	0.0579346	0.0245773	0.0473174	0.0671356	0.0488931	0.0856083	0.0530228	0.0583877	3.364984
3	1	-16834.3	-16844.1	9.87565	0.0542051	0.0938438	0.101899	0.137861	0.107314	0.0766916	0.190995	0.03601	0.017532	0.163275	0.1201	0.184767	0.10742	0.144529	0.133561	0.00161657	0.0182194	0.031489	0.348668	0.139459	0.0832184	0.0918163	0.25741	0.0172868	0.0435189	0.046452	0.0125279	0.0250639	0.0489555	0.0346256	0.0491909	0.0303342	0.096069	0.0377728	0.131617	0.0438096	0.0398411	0.0284982	0.0620985	0.0333541	0.0451037	0.0280816	0.00524192	3.501343
4	0	-16064.3	-16076.2	11.8146	0.12995	0.104627	0.0827952	0.0778503	0.103783	0.0815634	0.154428	0.0975993	0.0767258	0.167692	0.0031495	0.136367	0.113786	0.105947	0.109469	0.152972	0.0395004	0.104153	0.122386	0.0905107	0.0787649	0.0919377	0.135675	0.0265046	0.0325588	0.0486203	0.114541	0.0464518	0.00304788	0.0325773	0.0644962	0.0464031	0.0733814	0.0404652	0.022064	0.0877445	0.0197499	0.0279506	0.0435135	0.0421757	0.0935743	0.0316027	0.0483901	3.307447
5	1	-16294.9	-16307.2	12.2387	0.0733657	0.0988359	0.0917017	0.0814163	0.104074	0.0824391	0.1174	0.0701504	0.0253214	0.173148	0.0992781	0.0682657	0.108572	0.111439	0.0991258	0.00830915	0.0811646	0.10696	0.297299	0.106319	0.0763214	0.0918163	0.2432	0.0256616	0.0334363	0.0482988	0.020015	0.0334589	0.0248452	0.0353735	0.032453	0.0392945	0.066459	0.0339549	0.121885	0.0512689	0.0333033	0.0652543	0.0254087	0.0779744	0.0469282	0.0286487	0.00519055	3.265035
6	0	-15876.4	-15888.9	12.4948	0.134658	0.0719997	0.10516	0.0897855	0.131225	0.0723136	0.127024	0.0768251	0.0982714	0.176596	0.0121558	0.12193	0.0999724	0.0922652	0.111008	0.159547	0.0743696	0.125762	0.122386	0.0872805	0.0871156	0.0807924	0.162559	0.0265758	0.0503249	0.0263495	0.0563773	0.0304277	0.00769454	0.0260586	0.0647033	0.0532736	0.0246153	0.0685476	0.0278188	0.0695141	0.0273697	0.039142	0.0356748	0.0398507	0.0730322	0.0465789	0.0244911	3.239424
7	1	-15894.9	-15906.8	11.9388	0.112183	0.0959336	0.097024	0.108855	0.107103	0.0668019	0.128088	0.084679	0.0794734	0.157179	0.0691219	0.102705	0.0848758	0.0845752	0.101696	0.0318256	0.12268	0.110227	0.238367	0.104945	0.0965073	0.0899975	0.233455	0.0301661	0.0355234	0.0370425	0.0185184	0.0184829	0.0196001	0.0341822	0.0303026	0.0674197	0.0194265	0.040339	0.0828311	0.0600254	0.0425945	0.051631	0.0635052	0.0297479	0.0457914	0.040411	0.0191881	3.295028
8	0	-15816.8	-15830.3	13.4772	0.134083	0.0957595	0.100387	0.0939408	0.115587	0.0761355	0.127024	0.075115	0.105451	0.168162	0.0412042	0.111827	0.10613	0.107373	0.12559	0.114538	0.103779	0.118078	0.109894	0.067306	0.0659524	0.0724587	0.175503	0.0275034	0.0182117	0.0346912	0.0347828	0.0409845	0.00949107	0.0271252	0.0509713	0.0469074	0.0186663	0.062364	0.0407059	0.0796105	0.0297646	0.0375552	0.0271734	0.0503839	0.0463227	0.0222832	0.0244086	3.141185
9	1	-15803.7	-15816.6	12.8907	0.14901	0.101663	0.109945	0.0911345	0.115038	0.0753902	0.139743	0.0871309	0.0922716	0.157179	0.0818912	0.0881079	0.0999162	0.10444	0.115158	0.10163	0.12268	0.1162	0.115772	0.0908455	0.0808663	0.0949177	0.175838	0.0354921	0.0274522	0.0270969	0.0140145	0.0372983	0.0245151	0.0374772	0.0251294	0.0711766	0.0432803	0.0354777	0.0348639	0.040428	0.0204499	0.0417055	0.0602683	0.0311289	0.0439114	0.0251477	0.0167559	3.19984
