Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20272.2	-20276	3.85096	0.0454115	0.318895	0.240257	0.0144479	0.0144934	0.32778	0.0445774	0.125071	0.0692069	0.0279914	0.000835833	0.0644311	0.113077	0.0254756	0.0825223	0.330676	0.00818289	0.0190315	0.0411481	0.147738	0.363563	0.0412505	0.0484254	0.0847021	0.0227832	0.107164	0.400288	0.0402231	0.0104924	0.0363494	0.0902836	0.0343478	0.0280054	0.0759656	0.0723314	0.16908	0.0596275	0.0865917	0.0447244	0.0215205	0.0870289	0.0295497	0.0882631	4.103812
10	-16607.4	-16618.7	11.2392	0.151632	0.181016	0.105588	0.0570758	0.0482071	0.0947607	0.154428	0.110419	0.0966062	0.154766	0.00171519	0.156251	0.142611	0.0401208	0.115949	0.211125	0.0257637	0.0892053	0.138006	0.0882047	0.098412	0.0850616	0.0655455	0.0291345	0.0398563	0.0634355	0.129636	0.0281433	0.00512847	0.0247176	0.0234197	0.0324406	0.078629	0.0385626	0.0165353	0.0579346	0.0245773	0.0473174	0.0671356	0.0488931	0.0856083	0.0530228	0.0583877	3.364984
20	-16064.3	-16076.2	11.8146	0.12995	0.104627	0.0827952	0.0778503	0.103783	0.0815634	0.154428	0.0975993	0.0767258	0.167692	0.0031495	0.136367	0.113786	0.105947	0.109469	0.152972	0.0395004	0.104153	0.122386	0.0905107	0.0787649	0.0919377	0.135675	0.0265046	0.0325588	0.0486203	0.114541	0.0464518	0.00304788	0.0325773	0.0644962	0.0464031	0.0733814	0.0404652	0.022064	0.0877445	0.0197499	0.0279506	0.0435135	0.0421757	0.0935743	0.0316027	0.0483901	3.307447
30	-15876.4	-15888.9	12.4948	0.134658	0.0719997	0.10516	0.0897855	0.131225	0.0723136	0.127024	0.0768251	0.0982714	0.176596	0.0121558	0.12193	0.0999724	0.0922652	0.111008	0.159547	0.0743696	0.125762	0.122386	0.0872805	0.0871156	0.0807924	0.162559	0.0265758	0.0503249	0.0263495	0.0563773	0.0304277	0.00769454	0.0260586	0.0647033	0.0532736	0.0246153	0.0685476	0.0278188	0.0695141	0.0273697	0.039142	0.0356748	0.0398507	0.0730322	0.0465789	0.0244911	3.239424
40	-15816.8	-15830.3	13.4772	0.134083	0.0957595	0.100387	0.0939408	0.115587	0.0761355	0.127024	0.075115	0.105451	0.168162	0.0412042	0.111827	0.10613	0.107373	0.12559	0.114538	0.103779	0.118078	0.109894	0.067306	0.0659524	0.0724587	0.175503	0.0275034	0.0182117	0.0346912	0.0347828	0.0409845	0.00949107	0.0271252	0.0509713	0.0469074	0.0186663	0.062364	0.0407059	0.0796105	0.0297646	0.0375552	0.0271734	0.0503839	0.0463227	0.0222832	0.0244086	3.141185
50	-15806.6	-15818.9	12.3311	0.134083	0.0879556	0.0953388	0.0925045	0.11243	0.0773785	0.135151	0.0771345	0.108335	0.207015	0.0763557	0.0829499	0.114073	0.09132	0.107875	0.105395	0.130467	0.113371	0.114237	0.0685178	0.0869505	0.0869347	0.15381	0.0356106	0.0388767	0.0314434	0.041896	0.0323169	0.017932	0.0234246	0.0386613	0.0346835	0.0298939	0.0626311	0.0428485	0.109187	0.0412575	0.043383	0.0250671	0.039462	0.0488051	0.0295091	0.029327	3.2558
60	-15806.5	-15819.7	13.2333	0.121826	0.102482	0.104485	0.110142	0.105671	0.0925213	0.10334	0.0825722	0.0936561	0.146729	0.067123	0.0886797	0.0891118	0.107049	0.11121	0.117686	0.118173	0.104132	0.122986	0.0735781	0.0899695	0.0959125	0.171549	0.0164775	0.031212	0.021986	0.0536576	0.0362947	0.0202028	0.0128239	0.0511575	0.0554309	0.0187744	0.0639218	0.0368795	0.0655616	0.0416809	0.0459773	0.020449	0.0391872	0.0552172	0.029505	0.028602	3.165582
70	-15808.5	-15821.4	12.8709	0.124479	0.0822242	0.0920405	0.0841765	0.121658	0.0745961	0.1324	0.0875683	0.0956278	0.177234	0.0715011	0.0928466	0.0792613	0.0915014	0.0998107	0.108727	0.133552	0.122176	0.121891	0.076552	0.0942377	0.073018	0.182553	0.0333334	0.042417	0.0216791	0.0439728	0.0406523	0.0111427	0.0191275	0.0506027	0.0516229	0.0392134	0.0569824	0.0490871	0.0874676	0.0373513	0.0535026	0.0281359	0.0378209	0.0427955	0.0178403	0.0174337	3.201813
80	-15804.1	-15816.5	12.4244	0.154662	0.0760007	0.0851136	0.092822	0.106456	0.0875922	0.124113	0.0948593	0.109096	0.170845	0.0863432	0.0834744	0.111711	0.109416	0.108204	0.116263	0.127222	0.106836	0.132676	0.0825663	0.0982371	0.0865876	0.176831	0.0247899	0.0283558	0.0257658	0.040955	0.0374545	0.0170666	0.0112482	0.0546304	0.0472682	0.022694	0.0658254	0.0214644	0.0909169	0.0411396	0.0421252	0.0159037	0.0334241	0.0354203	0.0404316	0.0216624	3.246469
90	-15804.7	-15817.1	12.3974	0.137132	0.125599	0.0995089	0.0962167	0.122838	0.0771344	0.133964	0.0833565	0.114076	0.138351	0.0879211	0.0753995	0.101897	0.0944173	0.0999754	0.116221	0.134438	0.106444	0.11786	0.0775841	0.11073	0.0808014	0.185896	0.0191743	0.0206665	0.0221907	0.0436038	0.0470642	0.0279574	0.00716866	0.0541817	0.0480863	0.0215989	0.0565421	0.0332645	0.087898	0.0278362	0.0381907	0.0242289	0.0406799	0.0367305	0.0444669	0.0298727	3.249165
100	-15812.4	-15825.4	12.9431	0.13841	0.106497	0.115721	0.0807568	0.106402	0.096027	0.131395	0.0638665	0.0982731	0.168248	0.0745614	0.0809761	0.101213	0.0926817	0.1238	0.114652	0.132606	0.11708	0.110012	0.0822038	0.0800417	0.0532554	0.152608	0.0255379	0.0395537	0.0355013	0.06274	0.046505	0.0374053	0.0176953	0.0455618	0.0362137	0.0228753	0.0729349	0.0268471	0.0654669	0.0436767	0.0345542	0.0211899	0.0444364	0.0452185	0.0236951	0.0256982	3.194593
110	-15806.1	-15819.7	13.6198	0.135624	0.0992712	0.0776734	0.0883106	0.112198	0.0782087	0.106429	0.0929163	0.101584	0.178115	0.0721374	0.0793922	0.116816	0.0839339	0.111944	0.0985235	0.131332	0.121234	0.116855	0.0675681	0.0968359	0.0798285	0.166494	0.0177333	0.0213115	0.0229174	0.0510161	0.0256823	0.0267905	0.0227533	0.0560912	0.0333312	0.0246268	0.0589883	0.0329444	0.0842995	0.0196488	0.0402049	0.0228773	0.0493649	0.0340244	0.0258303	0.0432688	3.126929
120	-15808	-15820.9	12.9403	0.134722	0.104342	0.0920962	0.0888693	0.134077	0.0834371	0.136091	0.0767519	0.103367	0.150778	0.077667	0.0824103	0.088761	0.0756738	0.114373	0.109297	0.136133	0.111899	0.0999019	0.0776092	0.0979775	0.0741017	0.17854	0.0315137	0.019822	0.0244953	0.0553538	0.0438142	0.00902661	0.0351639	0.0483873	0.0455362	0.032312	0.0405148	0.0181889	0.102918	0.0328778	0.0420866	0.0276471	0.0369607	0.052173	0.0324554	0.0347562	3.194878
