Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-845.264	-641.161	-204.103	42169.1	0.02111011	0.993817	0.998412	1.00157	1.0062	1184.16
1	1	-749.289	-640.465	-108.824	41128.23	0.4460198	0.993739	0.998392	1.00159	1.00627	67.94315
2	0	-843.074	-641.161	-201.912	834024.7	0.02929763	0.998608	0.999644	1.00036	1.00139	1147.589
3	1	-738.717	-625.591	-113.126	60421.71	0.4920759	0.994834	0.998674	1.00132	1.00518	76.89895
4	0	-837.313	-641.161	-196.152	276530.1	0.03782014	0.997584	0.999382	1.00062	1.00242	959.428
5	1	-751.945	-630.469	-121.475	20051.22	0.4009432	0.991038	0.997693	1.00228	1.00899	98.38869
6	0	-836.639	-641.161	-195.478	689680.6	0.03724888	0.99847	0.999609	1.00039	1.00153	942.5695
7	1	-743.726	-625.888	-117.838	54169.48	0.2979588	0.994544	0.9986	1.00139	1.00547	87.37975
8	0	-827.059	-641.161	-185.898	711151.8	0.04062787	0.998493	0.999615	1.00038	1.00151	698.8813
9	1	-738.93	-626.182	-112.748	201805.5	0.6023765	0.997172	0.999276	1.00072	1.00283	73.23385
10	0	-836.252	-641.161	-195.09	758113.7	0.03858823	0.998541	0.999627	1.00037	1.00146	930.0079
11	1	-719.952	-602.784	-117.168	435944.3	0.3114804	0.998075	0.999508	1.00049	1.00193	86.12813
12	0	-840.065	-641.161	-198.904	159136	0.03067548	0.996815	0.999184	1.00081	1.00319	1047.413
13	1	-726.826	-598.635	-128.19	159345.5	0.2265793	0.996818	0.999185	1.00081	1.00319	120.7715
14	0	-843.634	-641.161	-202.473	442639.8	0.02655775	0.99809	0.999511	1.00049	1.00191	1165.101
15	1	-719.142	-598.627	-120.515	46893.25	0.3331811	0.994136	0.998495	1.00149	1.00588	97.2202
16	0	-839.342	-641.161	-198.181	831018.7	0.03245222	0.998606	0.999644	1.00036	1.00139	1025.024
17	1	-710.404	-598.414	-111.989	37692.25	0.4764038	0.99346	0.99832	1.00166	1.00655	74.807
18	0	-840.91	-641.161	-199.749	785701.7	0.02771663	0.998566	0.999633	1.00037	1.00143	1068.958
19	1	-704.091	-590.693	-113.398	472476.6	0.3240005	0.998151	0.999527	1.00047	1.00185	75.17021
20	0	-834.833	-641.161	-193.672	489755.3	0.02726219	0.998184	0.999535	1.00046	1.00182	843.8478
21	1	-681.395	-569.922	-111.472	992043.4	0.3735899	0.998724	0.999674	1.00033	1.00128	72.59128
22	0	-834.874	-641.161	-193.712	23398.49	0.04496973	0.991703	0.997865	1.00211	1.00832	879.668
23	1	-678.935	-570.237	-108.698	714868.7	0.5135907	0.998497	0.999616	1.00038	1.0015	67.79649
24	0	-835.513	-641.161	-194.352	113205.9	0.03428833	0.996225	0.999033	1.00096	1.00378	911.4194
25	1	-664.313	-557.856	-106.457	487739.3	0.4951159	0.998181	0.999535	1.00046	1.00182	63.36579
26	0	-840.497	-641.161	-199.336	117136.8	0.04526505	0.996289	0.999049	1.00095	1.00372	1002.941
27	1	-663.752	-564.596	-99.1564	69355.44	0.6189524	0.995178	0.998763	1.00123	1.00483	50.75505
28	0	-845.78	-641.161	-204.619	78469.83	0.03112712	0.995466	0.998837	1.00116	1.00454	1231.292
29	1	-652.255	-557.87	-94.3848	304244.3	0.8552714	0.997696	0.99941	1.00059	1.00231	43.57445
30	0	-851.455	-641.161	-210.293	237109.2	0.0306595	0.997391	0.999332	1.00067	1.00261	1418.868
31	1	-644.57	-552.758	-91.8121	265989.8	0.7288515	0.997536	0.999369	1.00063	1.00247	40.39528
32	0	-844.358	-641.161	-203.197	37572.15	0.02960442	0.99345	0.998317	1.00167	1.00657	1190.709
33	1	-622.237	-536.668	-85.5688	162952.2	0.8015225	0.996853	0.999194	1.0008	1.00315	32.83853
34	0	-836.758	-641.161	-195.597	65529.73	0.03821641	0.995039	0.998727	1.00126	1.00497	943.9553
35	1	-584.26	-518.95	-65.3107	707914	1.973922	0.99849	0.999614	1.00039	1.00151	18.01993
36	0	-828.232	-641.161	-187.071	37996.31	0.04612868	0.993487	0.998327	1.00166	1.00653	731.7954
37	1	-524.954	-477.31	-47.6441	268455.9	3.403088	0.997548	0.999372	1.00063	1.00245	10.45854
38	0	-838.282	-641.161	-197.121	47157.07	0.04699702	0.994153	0.998499	1.00149	1.00586	945.193
39	1	-499.016	-458.606	-40.4101	55907.21	3.119821	0.994629	0.998622	1.00137	1.00538	8.188289
40	0	-840.93	-641.161	-199.769	88851.65	0.02830892	0.995739	0.998908	1.00109	1.00427	1071.931
41	1	-466.998	-444.951	-22.047	98966.79	5.333685	0.995962	0.998965	1.00103	1.00404	4.581632
42	0	-828.867	-641.161	-187.706	733251.9	0.03701426	0.998516	0.99962	1.00038	1.00148	732.9236
43	1	-450.116	-431.302	-18.814	934698.2	7.870325	0.998686	0.999664	1.00034	1.00132	4.261005
44	0	-839.235	-641.16	-198.075	647569.4	0.03356757	0.998421	0.999596	1.0004	1.00158	1021.021
45	1	-441.047	-425.269	-15.7773	946768	10.68302	0.998694	0.999666	1.00033	1.00131	3.746099
46	0	-849.666	-641.161	-208.505	457163.9	0.03333225	0.998121	0.999519	1.00048	1.00188	1334.178
47	1	-436.693	-422.519	-14.1745	507318.1	7.030651	0.998216	0.999544	1.00046	1.00179	3.604343
48	0	-842.745	-641.161	-201.584	960430.4	0.0302181	0.998703	0.999668	1.00033	1.0013	1135.545
49	1	-443.141	-425.393	-17.7479	364507.9	6.36656	0.997895	0.999461	1.00054	1.00211	4.048165
50	0	-851.097	-641.161	-209.936	782542.5	0.02946576	0.998563	0.999633	1.00037	1.00144	1419.741
51	1	-426.544	-419.842	-6.70226	808300.3	11.49162	0.998587	0.999639	1.00036	1.00141	2.888246
52	0	-865.002	-641.161	-223.84	430124.7	0.01476089	0.998063	0.999504	1.00049	1.00194	2230.914
53	1	-432.037	-416.427	-15.6102	446173.7	11.89043	0.998098	0.999513	1.00049	1.0019	3.628519
54	0	-865.278	-641.161	-224.117	628852.4	0.01735685	0.998398	0.99959	1.00041	1.0016	2221.175
55	1	-439.165	-425.391	-13.7746	104965.5	7.659242	0.996079	0.998995	1.001	1.00393	3.608868
56	0	-854.039	-641.161	-212.878	211113.4	0.0183775	0.997235	0.999292	1.00071	1.00277	1588.854
57	1	-434.125	-418.416	-15.7091	947359.5	9.446272	0.998694	0.999666	1.00033	1.00131	3.825703
58	0	-867.126	-641.161	-225.964	322798.3	0.01263691	0.997764	0.999428	1.00057	1.00224	2368.279
59	1	-434.373	-418.07	-16.3031	316965.3	9.42339	0.997743	0.999422	1.00058	1.00226	3.890013
60	0	-869.307	-641.161	-228.146	879259.7	0.01326678	0.998645	0.999653	1.00035	1.00136	2541.276
61	1	-434.065	-418.567	-15.4987	622214.7	7.662539	0.998389	0.999588	1.00041	1.00161	3.834087
62	0	-874.581	-641.161	-233.42	721607.9	0.01356341	0.998504	0.999617	1.00038	1.0015	2928.339
63	1	-431.343	-418.021	-13.322	517322.2	7.901074	0.998233	0.999548	1.00045	1.00177	3.564836
64	0	-881.471	-641.161	-240.309	536189.7	0.007174403	0.998265	0.999556	1.00044	1.00174	3567.194
65	1	-439.678	-426.421	-13.2569	941388.9	8.346302	0.99869	0.999665	1.00033	1.00131	3.572952
66	0	-877.543	-641.161	-236.382	431461.6	0.009681236	0.998066	0.999505	1.00049	1.00194	3259.26
67	1	-454.125	-431.564	-22.5606	509461.4	6.525594	0.99822	0.999545	1.00045	1.00178	4.806911
68	0	-870.307	-641.161	-229.146	178627.2	0.01296213	0.996994	0.99923	1.00077	1.00301	2618.997
69	1	-444.751	-426.506	-18.2451	206539.6	6.124162	0.997204	0.999284	1.00071	1.0028	4.088324
70	0	-882.226	-641.161	-241.065	890635.5	0.00765326	0.998653	0.999656	1.00034	1.00135	3721.275
71	1	-431.856	-427.288	-4.56872	944944.3	11.03976	0.998693	0.999666	1.00033	1.00131	2.701478
72	0	-875.345	-641.161	-234.184	613956.3	0.0146523	0.998378	0.999585	1.00041	1.00162	2936.724
73	1	-431.806	-418.597	-13.2084	962987.7	8.245726	0.998705	0.999669	1.00033	1.0013	3.56457
74	0	-868.799	-641.161	-227.637	353666.5	0.01232547	0.997863	0.999453	1.00055	1.00214	2497.052
75	1	-431.895	-418.941	-12.9543	725455.2	12.01155	0.998508	0.999618	1.00038	1.00149	3.396643
76	0	-856.363	-641.161	-215.202	988751.4	0.01814565	0.998722	0.999673	1.00033	1.00128	1714.103
77	1	-434.894	-420.165	-14.7287	545598.3	6.668665	0.99828	0.99956	1.00044	1.00172	3.632382
78	0	-849.577	-641.161	-208.416	147917.5	0.0281721	0.996697	0.999154	1.00084	1.00331	1378.4
79	1	-439.451	-423.684	-15.7669	51813.34	7.574022	0.994421	0.998568	1.00142	1.00559	3.866018
80	0	-854.517	-641.161	-213.356	690593.5	0.01743699	0.998471	0.999609	1.00039	1.00153	1602.531
81	1	-432.028	-420.074	-11.9535	908945.7	8.014863	0.998667	0.999659	1.00034	1.00133	3.39952
82	0	-858.639	-641.161	-217.478	584199.3	0.02065476	0.998337	0.999575	1.00042	1.00166	1822.998
83	1	-443.776	-430.647	-13.1294	352037.9	7.986706	0.997858	0.999452	1.00055	1.00214	3.544902
84	0	-857.762	-641.161	-216.601	606897	0.02306382	0.998369	0.999583	1.00042	1.00163	1752.364
85	1	-428.787	-415.499	-13.2883	184351.9	8.9088	0.997041	0.999242	1.00075	1.00296	3.579848
86	0	-853.809	-641.161	-212.648	597019.7	0.0254362	0.998355	0.999579	1.00042	1.00165	1560.543
87	1	-433.709	-417.923	-15.7863	817577	11.68434	0.998595	0.999641	1.00036	1.00141	3.661739
88	0	-852.009	-641.161	-210.848	819322.2	0.01864644	0.998596	0.999641	1.00036	1.0014	1482.739
89	1	-430.032	-415.113	-14.9192	370979.8	11.01002	0.997914	0.999466	1.00053	1.00209	3.641329
90	0	-824.061	-641.161	-182.9	845720.7	0.04037109	0.998618	0.999647	1.00035	1.00138	623.8819
91	1	-428.949	-419.622	-9.32757	536980.2	9.327872	0.998266	0.999556	1.00044	1.00174	3.14804
92	0	-846.868	-641.161	-205.706	325007.4	0.03051055	0.997771	0.99943	1.00057	1.00223	1270.187
93	1	-433.132	-418.649	-14.4834	527368.5	7.589212	0.99825	0.999552	1.00045	1.00175	3.697472
94	0	-837.732	-641.161	-196.57	322873.8	0.02820559	0.997764	0.999428	1.00057	1.00224	958.1882
95	1	-427.55	-417.431	-10.119	341460.5	9.993853	0.997826	0.999444	1.00055	1.00218	3.231841
96	0	-842.913	-641.161	-201.752	944736.8	0.03330162	0.998693	0.999666	1.00033	1.00131	1131.701
97	1	-434.958	-418.751	-16.2065	756828.7	9.214331	0.998539	0.999626	1.00037	1.00146	3.89198
98	0	-851.524	-641.161	-210.363	919233.9	0.01843286	0.998675	0.999661	1.00034	1.00133	1453.022
99	1	-436.547	-419.98	-16.5662	285736.1	9.187825	0.997623	0.999392	1.00061	1.00238	3.932595
100	0	-865.815	-641.161	-224.654	33065.87	0.01482308	0.993018	0.998206	1.00178	1.007	2285.783
101	1	-445.268	-430.63	-14.6378	580765.9	10.5073	0.998333	0.999573	1.00043	1.00167	3.651555
102	0	-853.788	-641.16	-212.627	755732.5	0.01810997	0.998538	0.999626	1.00037	1.00146	1571.754
103	1	-438.94	-428.473	-10.4671	773457.9	11.10733	0.998555	0.99963	1.00037	1.00145	3.23299
104	0	-867.681	-641.161	-226.52	971026.7	0.01712186	0.99871	0.99967	1.00033	1.00129	2365.731
105	1	-424.433	-417.976	-6.45667	992271.3	12.30761	0.998724	0.999674	1.00033	1.00128	2.847476
106	0	-873.761	-641.161	-232.6	807378.5	0.01181308	0.998586	0.999638	1.00036	1.00141	2906.848
107	1	-430.824	-419.129	-11.6948	789590.6	11.30466	0.99857	0.999634	1.00037	1.00143	3.333074
108	0	-872.211	-641.161	-231.05	641740.9	0.01355462	0.998414	0.999594	1.0004	1.00159	2753.807
109	1	-425.931	-415.096	-10.835	733675.4	8.856145	0.998516	0.999621	1.00038	1.00148	3.303218
110	0	-870.316	-641.161	-229.155	48677.64	0.01369573	0.994245	0.998523	1.00147	1.00577	2612.034
111	1	-433.3	-422.858	-10.4419	956418.6	10.1558	0.998701	0.999668	1.00033	1.0013	3.261141
112	0	-865.589	-641.161	-224.428	628997.3	0.01477056	0.998398	0.99959	1.00041	1.0016	2270.684
113	1	-440.722	-424.897	-15.825	275132	8.046288	0.997578	0.99938	1.00062	1.00242	3.882662
114	0	-862.028	-641.161	-220.866	523997.3	0.01730756	0.998245	0.999551	1.00045	1.00176	2034.262
115	1	-437.038	-420.151	-16.8872	731561.9	5.46208	0.998514	0.99962	1.00038	1.00149	3.668282
116	0	-855.03	-641.161	-213.869	312710.9	0.0230953	0.997728	0.999419	1.00058	1.00227	1633.643
117	1	-428.098	-415.837	-12.2609	580758.3	5.965824	0.998333	0.999573	1.00043	1.00167	3.054167
118	0	-867.492	-641.161	-226.331	985606.8	0.01231449	0.99872	0.999673	1.00033	1.00128	2390.793
119	1	-434.792	-423.193	-11.5988	973799.4	9.197391	0.998712	0.999671	1.00033	1.00129	3.391934
120	0	-858.304	-641.161	-217.143	161425.9	0.02204765	0.996838	0.99919	1.00081	1.00317	1790.293
121	1	-430.19	-415.672	-14.5177	687505.7	8.48469	0.998467	0.999608	1.00039	1.00153	3.723969
122	0	-839.751	-641.161	-198.59	883537.8	0.02791936	0.998648	0.999654	1.00035	1.00135	1028.285
