Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-845.264	-641.161	-204.103	42169.1	0.02111011	0.993817	0.998412	1.00157	1.0062	1184.16
10	-843.074	-641.161	-201.912	834024.7	0.02929763	0.998608	0.999644	1.00036	1.00139	1147.589
20	-837.313	-641.161	-196.152	276530.1	0.03782014	0.997584	0.999382	1.00062	1.00242	959.428
30	-836.639	-641.161	-195.478	689680.6	0.03724888	0.99847	0.999609	1.00039	1.00153	942.5695
40	-827.059	-641.161	-185.898	711151.8	0.04062787	0.998493	0.999615	1.00038	1.00151	698.8813
50	-836.252	-641.161	-195.09	758113.7	0.03858823	0.998541	0.999627	1.00037	1.00146	930.0079
60	-840.065	-641.161	-198.904	159136	0.03067548	0.996815	0.999184	1.00081	1.00319	1047.413
70	-843.634	-641.161	-202.473	442639.8	0.02655775	0.99809	0.999511	1.00049	1.00191	1165.101
80	-839.342	-641.161	-198.181	831018.7	0.03245222	0.998606	0.999644	1.00036	1.00139	1025.024
90	-840.91	-641.161	-199.749	785701.7	0.02771663	0.998566	0.999633	1.00037	1.00143	1068.958
100	-834.833	-641.161	-193.672	489755.3	0.02726219	0.998184	0.999535	1.00046	1.00182	843.8478
110	-834.874	-641.161	-193.712	23398.49	0.04496973	0.991703	0.997865	1.00211	1.00832	879.668
120	-835.513	-641.161	-194.352	113205.9	0.03428833	0.996225	0.999033	1.00096	1.00378	911.4194
130	-840.497	-641.161	-199.336	117136.8	0.04526505	0.996289	0.999049	1.00095	1.00372	1002.941
140	-845.78	-641.161	-204.619	78469.83	0.03112712	0.995466	0.998837	1.00116	1.00454	1231.292
150	-851.455	-641.161	-210.293	237109.2	0.0306595	0.997391	0.999332	1.00067	1.00261	1418.868
160	-844.358	-641.161	-203.197	37572.15	0.02960442	0.99345	0.998317	1.00167	1.00657	1190.709
170	-836.758	-641.161	-195.597	65529.73	0.03821641	0.995039	0.998727	1.00126	1.00497	943.9553
180	-828.232	-641.161	-187.071	37996.31	0.04612868	0.993487	0.998327	1.00166	1.00653	731.7954
190	-838.282	-641.161	-197.121	47157.07	0.04699702	0.994153	0.998499	1.00149	1.00586	945.193
200	-840.93	-641.161	-199.769	88851.65	0.02830892	0.995739	0.998908	1.00109	1.00427	1071.931
210	-828.867	-641.161	-187.706	733251.9	0.03701426	0.998516	0.99962	1.00038	1.00148	732.9236
220	-839.235	-641.16	-198.075	647569.4	0.03356757	0.998421	0.999596	1.0004	1.00158	1021.021
230	-849.666	-641.161	-208.505	457163.9	0.03333225	0.998121	0.999519	1.00048	1.00188	1334.178
240	-842.745	-641.161	-201.584	960430.4	0.0302181	0.998703	0.999668	1.00033	1.0013	1135.545
250	-851.097	-641.161	-209.936	782542.5	0.02946576	0.998563	0.999633	1.00037	1.00144	1419.741
260	-865.002	-641.161	-223.84	430124.7	0.01476089	0.998063	0.999504	1.00049	1.00194	2230.914
270	-865.278	-641.161	-224.117	628852.4	0.01735685	0.998398	0.99959	1.00041	1.0016	2221.175
280	-854.039	-641.161	-212.878	211113.4	0.0183775	0.997235	0.999292	1.00071	1.00277	1588.854
290	-867.126	-641.161	-225.964	322798.3	0.01263691	0.997764	0.999428	1.00057	1.00224	2368.279
300	-869.307	-641.161	-228.146	879259.7	0.01326678	0.998645	0.999653	1.00035	1.00136	2541.276
310	-874.581	-641.161	-233.42	721607.9	0.01356341	0.998504	0.999617	1.00038	1.0015	2928.339
320	-881.471	-641.161	-240.309	536189.7	0.007174403	0.998265	0.999556	1.00044	1.00174	3567.194
330	-877.543	-641.161	-236.382	431461.6	0.009681236	0.998066	0.999505	1.00049	1.00194	3259.26
340	-870.307	-641.161	-229.146	178627.2	0.01296213	0.996994	0.99923	1.00077	1.00301	2618.997
350	-882.226	-641.161	-241.065	890635.5	0.00765326	0.998653	0.999656	1.00034	1.00135	3721.275
360	-875.345	-641.161	-234.184	613956.3	0.0146523	0.998378	0.999585	1.00041	1.00162	2936.724
370	-868.799	-641.161	-227.637	353666.5	0.01232547	0.997863	0.999453	1.00055	1.00214	2497.052
380	-856.363	-641.161	-215.202	988751.4	0.01814565	0.998722	0.999673	1.00033	1.00128	1714.103
390	-849.577	-641.161	-208.416	147917.5	0.0281721	0.996697	0.999154	1.00084	1.00331	1378.4
400	-854.517	-641.161	-213.356	690593.5	0.01743699	0.998471	0.999609	1.00039	1.00153	1602.531
410	-858.639	-641.161	-217.478	584199.3	0.02065476	0.998337	0.999575	1.00042	1.00166	1822.998
420	-857.762	-641.161	-216.601	606897	0.02306382	0.998369	0.999583	1.00042	1.00163	1752.364
430	-853.809	-641.161	-212.648	597019.7	0.0254362	0.998355	0.999579	1.00042	1.00165	1560.543
440	-852.009	-641.161	-210.848	819322.2	0.01864644	0.998596	0.999641	1.00036	1.0014	1482.739
450	-824.061	-641.161	-182.9	845720.7	0.04037109	0.998618	0.999647	1.00035	1.00138	623.8819
460	-846.868	-641.161	-205.706	325007.4	0.03051055	0.997771	0.99943	1.00057	1.00223	1270.187
470	-837.732	-641.161	-196.57	322873.8	0.02820559	0.997764	0.999428	1.00057	1.00224	958.1882
